N,dtype,t_numpy_s,t_cupy_s,gflops_numpy,gflops_cupy,speedup,rss_delta_bytes,cupy_pool_used_delta_bytes,cupy_pool_total_delta_bytes,theo_bytes
256,float32,6.289749944698997e-05,3.683200106024742e-05,533.4779966615316,911.0130059215035,1.7076861869140991,,786432,786432,786432
512,float32,0.000598332000663504,7.065600156784058e-05,448.63964438192477,3799.188321493976,8.468240310612732,,3145728,3145728,3145728
1024,float32,0.0030978319991845638,0.00027137599885463715,693.2214686158829,7913.314578531692,11.41527626709509,,12582912,12582912,12582912
1536,float32,0.01001220999933139,0.000851967990398407,723.8918592882093,8507.077018950818,11.751861703923131,,28311552,28311552,28311552
2048,float32,0.023201916001198697,0.0020651520490646363,740.4504517261602,8318.936705789401,11.234967426106701,,50331648,50331648,50331648
3072,float32,0.05862569449891453,0.007707136154174805,989.0212643378333,7523.165198605225,7.6066768934863225,,113246208,113246208,113246208
4096,float32,0.1788929329977691,0.01677004814147949,768.2749182367867,8195.501426859639,10.667407242278005,,201326592,201326592,201326592
6144,float32,0.6670413395004289,0.06045115280151367,695.3938841562634,7673.244371220415,11.034385757548803,,452984832,452984832,452984832
8192,float32,1.619539214500037,0.14694042205810548,678.9039857336378,7482.703618077358,11.021740592657434,,805306368,805306368,805306368
256,float64,0.00015115699898160528,0.00024268800020217895,221.983978420234,138.2616032603442,0.6228449649578024,,1572864,1572864,1572864
512,float64,0.0007640840012754779,0.0013745279908180237,351.3166818725472,195.2928261870068,0.5558882804712825,,6291456,6291456,6291456
1024,float64,0.005950524500804022,0.00951352024078369,360.88980857230933,225.72965565300544,0.6254808262555227,,25165824,25165824,25165824
1536,float64,0.01878154499718221,0.030955519676208496,385.8978222019211,234.13457075864935,0.6067268517419577,,56623104,56623104,56623104
2048,float64,0.040655578501173295,0.07653376007080079,422.57101773878827,224.47439101524654,0.5312110428595581,,100663296,100663296,100663296
3072,float64,0.1579608254996856,0.24736205291748048,367.06606408634786,234.40158994533695,0.6385814785923573,,226492416,226492416,226492416
4096,float64,0.43623500049943686,0.5854683837890625,315.0571442333807,234.7504276533533,0.7451042833025247,,402653184,402653184,402653184
6144,float64,1.400931660502465,1.9961362915039063,331.10570704186307,232.377152773735,0.701821647382099,,905969664,905969664,905969664
8192,float64,3.4314048459982587,4.710939697265625,320.42608701746815,233.39539421703714,0.7283907386863713,,1610612736,1610612736,1610612736
