family,N,dtype,k,tol,t_cpu_s,t_gpu_s,speedup,residual_cpu,residual_gpu,rss_delta_bytes,gpu_pool_used_bytes,gpu_pool_total_bytes
real_symmetric_eigsh_float32,256,float32,16,1e-06,0.0011375510002835654,0.02515812873840332,0.04521604178561656,2.7918588330066996e-07,3.302817574990513e-08,nan,16896.0,129536.0
real_symmetric_eigsh_float32,384,float32,16,1e-06,0.001719091997074429,0.027083871841430664,0.06347290399021548,1.7615823821870435e-07,1.9273119988838516e-08,nan,25088.0,155136.0
real_symmetric_eigsh_float32,512,float32,16,1e-06,0.001996400998905301,0.03904520034790039,0.0511305097967734,1.0956399876249634e-07,2.1570318864405635e-08,nan,33280.0,208896.0
real_symmetric_eigsh_float32,768,float32,16,1e-06,0.0040105939988279715,0.0372431526184082,0.10768674821705755,1.5821582621811103e-07,1.7542438612849764e-08,nan,49664.0,294912.0
real_symmetric_eigsh_float32,1024,float32,16,1e-06,0.006301615998381749,0.045670881271362304,0.13797885705203472,1.808576115536198e-07,1.6113942180595586e-08,nan,66048.0,393216.0
real_symmetric_eigsh_float32,1536,float32,16,1e-06,0.018730959003733005,0.07266691207885742,0.25776462034613984,2.2785306441619468e-07,1.3660863551478997e-08,nan,98816.0,625152.0
real_symmetric_eigsh_float32,2048,float32,16,1e-06,0.020178391998342704,0.07611086654663086,0.2651184109956231,1.2436437657470378e-07,1.2344362865235325e-08,nan,131584.0,831488.0
real_symmetric_eigsh_float64,256,float64,16,1e-06,0.0012140879989601672,0.02252998447418213,0.05388765360009154,5.460963534669182e-09,1.1331813555194587e-11,nan,33280.0,219136.0
real_symmetric_eigsh_float64,384,float64,16,1e-06,0.002010538002650719,0.039613536834716793,0.05075381203752323,2.0215806273828905e-08,4.081331429124133e-09,nan,49664.0,294912.0
real_symmetric_eigsh_float64,512,float64,16,1e-06,0.0035078599976259284,0.0407838716506958,0.08601096108946983,3.7649985662454886e-09,8.831710607806348e-09,nan,66048.0,413696.0
real_symmetric_eigsh_float64,768,float64,16,1e-06,0.00473751899698982,0.04494174385070801,0.1054146677691766,7.560284616983663e-09,7.757283561948437e-09,nan,98816.0,589824.0
real_symmetric_eigsh_float64,1024,float64,16,1e-06,0.00624863599659875,0.04974144172668457,0.1256223338063515,3.958429839007617e-08,4.718474054889475e-10,nan,131584.0,786432.0
real_symmetric_eigsh_float64,1536,float64,16,1e-06,0.012684052999247797,0.06799860763549805,0.1865340106262147,2.8993448953585378e-08,5.220831498139029e-09,nan,197120.0,1179648.0
real_symmetric_eigsh_float64,2048,float64,16,1e-06,0.021914389995799866,0.07951679992675781,0.275594465773082,3.2067529113773735e-08,3.8602093123551105e-09,nan,262656.0,1310720.0
real_symmetric_eigsh_float32,1024,float32,2,1e-06,0.0022112070000730455,0.02058860778808594,0.10739953972762599,6.319630330153814e-08,1.3001036691662193e-08,nan,8704.0,139264.0
real_symmetric_eigsh_float32,1024,float32,4,1e-06,0.0020885129997623153,0.027176095962524415,0.07685110483280437,1.2329959986345784e-07,1.2375947378018282e-08,nan,16896.0,147456.0
real_symmetric_eigsh_float32,1024,float32,8,1e-06,0.0030021970014786348,0.05352396774291992,0.05609070343772789,1.5857791879625438e-07,1.8339960661251098e-08,nan,33280.0,229376.0
real_symmetric_eigsh_float32,1024,float32,16,1e-06,0.006460750999394804,0.03725942420959473,0.17339911006276598,1.3094077644382196e-07,1.652328940338066e-08,nan,66048.0,393216.0
real_symmetric_eigsh_float32,1024,float32,32,1e-06,0.02026802299951669,0.08800107192993165,0.23031563769648766,1.976642209911006e-07,2.3022764139568608e-08,nan,131584.0,655360.0
real_symmetric_eigsh_float32,1024,float32,48,1e-06,0.019554430000425782,0.2656629791259766,0.0736061534232556,2.821228122229513e-07,1.777889835352653e-08,nan,197120.0,983040.0
real_symmetric_eigsh_float32,1024,float32,64,1e-06,0.042341453001427,0.33193574523925784,0.12755918459733062,2.5486588128842413e-07,1.826288453798952e-08,nan,262656.0,1572864.0
real_symmetric_eigsh_float64,1024,float64,2,1e-06,0.0022785279943491332,0.026290176391601562,0.08666841790673617,3.104211695745877e-08,6.770335471675091e-11,nan,16896.0,360448.0
real_symmetric_eigsh_float64,1024,float64,4,1e-06,0.004034709003462922,0.03112260818481445,0.1296391671129788,1.0293904306797911e-08,4.018495058234975e-09,nan,33280.0,425984.0
real_symmetric_eigsh_float64,1024,float64,8,1e-06,0.005485979003424291,0.060854366302490234,0.09014930787636512,2.7747064695657652e-08,4.75150413392002e-09,nan,66048.0,557056.0
real_symmetric_eigsh_float64,1024,float64,16,1e-06,0.012715472999843769,0.05110225677490234,0.24882409901882593,4.337913485850603e-08,8.806225721282075e-10,nan,131584.0,825344.0
real_symmetric_eigsh_float64,1024,float64,32,1e-06,0.015979619005520362,0.1214683837890625,0.1315537303375171,1.350381606207312e-09,7.039778870810928e-09,nan,262656.0,1376256.0
real_symmetric_eigsh_float64,1024,float64,48,1e-06,0.024193227996875066,0.08520174407958984,0.28395226245926786,3.5587322398249265e-08,6.361481329190397e-09,nan,393728.0,2072576.0
real_symmetric_eigsh_float64,1024,float64,64,1e-06,0.03582383899629349,0.09637283325195313,0.37172134290829795,1.7923438159503773e-09,3.696477838817795e-11,nan,524800.0,2785280.0
real_symmetric_eigsh_float32,1024,float32,16,0.01,0.006127113003458362,0.043255632400512695,0.14164890589799212,0.00011913746857317165,8.09035736892838e-06,nan,66048.0,393216.0
real_symmetric_eigsh_float32,1024,float32,16,0.0001,0.005406996002420783,0.06021484756469726,0.08979506253189944,2.093119746859884e-06,7.75908546302162e-08,nan,66048.0,393216.0
real_symmetric_eigsh_float32,1024,float32,16,1e-06,0.010270020000461955,0.05386091232299805,0.19067668105719707,1.0419755369639461e-07,1.4451432051032498e-08,nan,66048.0,393216.0
real_symmetric_eigsh_float32,1024,float32,16,1e-08,0.00871394999558106,0.06487551879882812,0.13431800094889515,1.9836529929762037e-07,1.422904905012956e-08,nan,66048.0,393216.0
real_symmetric_eigsh_float64,1024,float64,16,0.01,0.006093828997109085,0.04234819221496582,0.14389820859827707,0.00011913323435209964,1.4582573843667629e-05,nan,131584.0,655360.0
real_symmetric_eigsh_float64,1024,float64,16,0.0001,0.00805845099966973,0.05046116828918457,0.15969608459098858,2.0858402854621483e-06,7.368804789345902e-08,nan,131584.0,655360.0
real_symmetric_eigsh_float64,1024,float64,16,1e-06,0.009179193002637476,0.04821544075012207,0.1903787015078616,2.1533373733987068e-08,6.809762868196146e-09,nan,131584.0,655360.0
real_symmetric_eigsh_float64,1024,float64,16,1e-08,0.013309039000887424,0.07071479797363281,0.18820726894885453,4.101156342268474e-10,5.550986452500421e-12,nan,131584.0,655360.0
complex_general_eigs_complex64,128,complex64,16,1e-06,0.0009800420011742972,nan,nan,1.361228925134128e-07,nan,nan,nan,nan
complex_general_eigs_complex64,192,complex64,16,1e-06,0.004334493998612743,nan,nan,2.7473134878164274e-07,nan,nan,nan,nan
complex_general_eigs_complex64,256,complex64,16,1e-06,0.004936714998621028,nan,nan,2.1867467125957774e-07,nan,nan,nan,nan
complex_general_eigs_complex64,384,complex64,16,1e-06,0.010784092999529094,nan,nan,1.9597665357196092e-07,nan,nan,nan,nan
complex_general_eigs_complex64,512,complex64,16,1e-06,0.03402891099540284,nan,nan,3.643475565695553e-07,nan,nan,nan,nan
complex_general_eigs_complex64,768,complex64,16,1e-06,0.0924357250041794,nan,nan,0.00011933877976844087,nan,nan,nan,nan
complex_general_eigs_complex64,1024,complex64,16,1e-06,0.09152013999846531,nan,nan,1.096808318834519e-05,nan,nan,nan,nan
complex_general_eigs_complex128,128,complex128,16,1e-06,0.0018707980052568018,nan,nan,3.2514858993648035e-16,nan,nan,nan,nan
complex_general_eigs_complex128,192,complex128,16,1e-06,0.006789200997445732,nan,nan,5.4304042524876434e-08,nan,nan,nan,nan
complex_general_eigs_complex128,256,complex128,16,1e-06,0.009087164005904924,nan,nan,4.2540270169466374e-08,nan,nan,nan,nan
complex_general_eigs_complex128,384,complex128,16,1e-06,0.01841798300301889,nan,nan,3.8010480536849815e-08,nan,nan,nan,nan
complex_general_eigs_complex128,512,complex128,16,1e-06,0.06041883600119036,nan,nan,2.4716970697449032e-08,nan,nan,nan,nan
complex_general_eigs_complex128,768,complex128,16,1e-06,0.1731405949976761,nan,nan,3.427847232752811e-08,nan,nan,nan,nan
complex_general_eigs_complex128,1024,complex128,16,1e-06,0.14221435099898372,nan,nan,3.078926181110765e-08,nan,nan,nan,nan
complex_general_eigs_complex64,512,complex64,2,1e-06,0.00225207899347879,nan,nan,1.2650585290430172e-07,nan,nan,nan,nan
complex_general_eigs_complex64,512,complex64,4,1e-06,0.003963440998631995,nan,nan,1.578009403147007e-07,nan,nan,nan,nan
complex_general_eigs_complex64,512,complex64,8,1e-06,0.00828470999840647,nan,nan,4.048917787713435e-07,nan,nan,nan,nan
